,,Group 1,,Group 2,Group 3,,,Group 4
Plant species,Corolla length,B. appositus,B. kirbyellus,B. flavifrons,B. sylvicola,B. bifarius,B. frigidus,B. occidentalis
Ipomopsis aggregate,27.2,,,,,,,9
Delphinium nelsoni,18.6,52,,36,,,1,
Pedicularis bracteosa,15,,13,4,,1,,
Delphinium barbeyi,14,828,1294,859,,,11,34
Lonicera involucrata,13,,,28,,,,
Vicia am ericana,12.4,30,,22,,,1,8
Castilleja sulphurea,12.3,2,127,17,,,,
Gentiana calycosa,11.6,112,68,11,1,,,1
G. thermalis,10.9,23,127,8,,,4,6
Mertensia ciliata,9.9,,120,430,75,12,132,6
Lathvrus leucanthus,8.8,14,,9,,5,,7
Aconitum columbianum,8.4,208,4,589,,23,3,50
Hydrophyllum fendleri,8.1,,,92,21,,6,
H. capitatum,7.3,,,10,,,,
Haplopappus croceus,6.3,3,,2,4,74,,17
Cirsium sp.,6.2,34,4,72,1,5,,1
Helianthella quinquenervis,5.9,,3,529,239,279,89,8
Senecio serra,5.8,,,109,13,33,19,6
Aster engelmannii,5.4,6,,52,7,22,1,5
Senecio bigelovii,5.2,2,,237,31,219,72,27
S. aplectens,5.1,,3,25,52,2,12,
S. crassulus,4.9,2,6,61,283,28,114,2
S. fremonti,4.7,,,22,54,25,38,
S. triangularis,4.5,,,242,113,31,282,2
S. atractus,4.3,,,2,40,34,11,16
Helenium hoopesii,4,10,,175,350,159,157,9
Hymenoxys grandiflora,3.9,,,,16,,1,
Viguiera multiflora,3.6,2,,93,68,139,52,9
Frasera speciosa,3.1,14,6,16,24,130,11,9
Haplopappus parryi,2.7,1,1,16,22,46,21,12
Epilobium angustifolium,2,8,,534,22,77,76,72
Phacelia leucophylla,0,5,11,182,64,44,15,3
Heracleum lanatum,0,,,,1,,,14
Ligusticum porteri,0,,,,,,,27
