site,appositus,kirbiellus,bifarius,frigidus,sylvicola
1,1.00,0.00,0.88,0.02,0.1
2,1.00,0.00,0.91,0.01,0.08
3,0.99,0.01,0.94,0.03,0.03
4,1.00,0.00,0.88,0.05,0.07
5,1.00,0.00,0.69,0.15,0.16
6,0.97,0.03,0.68,0.25,0.07
7,0.98,0.02,0.57,0.38,0.05
8,0.93,0.07,0.47,0.32,0.21
9,0.91,0.09,0.42,0.44,0.14
10,0.97,0.03,0.17,0.49,0.34
11,1.00,0.00,0.28,0.59,0.13
12,0.82,0.18,0.45,0.22,0.33
13,0.51,0.49,0.04,0.26,0.7
14,0.67,0.33,0.28,0.09,0.63
15,0.40,0.60,0.28,0.11,0.61
16,0.16,0.84,0.05,0.17,0.78
17,0.02,0.98,0.12,0.15,0.73
