appositus,bifarius,frigidus,kirbiellus,sylvicola
13.4,7.6,7.4,12.3,8.5
13.0,8.5,6.7,11.8,8.3
12.7,8.6,7.4,12.2,8.8
12.6,8.0,7.1,11.9,8.5
13.0,9.5,7.5,12.1,8.7
13.9,8.8,7.0,12.4,8.5
12.7,8.4,8.1,11.2,8.4
12.2,8.7,7.1,12.8,8.0
12.7,8.5,7.2,11.6,8.5
12.2,8.3,7.2,12.2,9.6
12.5,8.8,7.3,11.9,9.3
12.3,8.5,7.3,12.2,7.7
12.9,7.8,7.1,12.0,8.0
12.9,8.3,7.7,12.0,8.6
13.5,8.3,7.1,12.5,8.2
13.6,8.6,6.9,12.6,8.5
12.0,8.5,7.2,12.2,8.4
12.4,8.6,7.1,12.4,8.6
12.5,8.3,6.9,11.8,8.8
12.9,8.6,7.6,11.7,7.6
12.9,9.1,7.1,12.0,8.8
13.2,8.2,6.7,11.8,8.6
13.0,8.6,7.8,10.7,8.7
13.0,8.6,7.4,12.1,8.2
12.8,8.1,7.3,12.1,7.7
12.9,7.8,7.3,12.1,9.1
13.1,8.3,7.6,11.9,8.5
12.7,9.0,7.3,12.6,8.5
12.1,8.4,7.2,11.9,9.3
12.9,8.9,7.5,12.0,8.1
14.0,8.0,8.2,12.1,7.2
13.0,8.3,7.3,11.4,8.9
12.1,8.1,7.9,12.2,8.6
12.3,8.5,7.4,12.3,8.7
13.1,8.0,6.9,11.7,9.0
12.9,9.3,7.3,12.2,7.3
12.6,8.7,7.2,11.9,8.2
12.5,8.0,7.4,12.9,8.3
12.8,7.8,6.9,11.7,8.2
12.4,8.2,7.6,12.1,7.9
12.8,9.2,7.7,11.8,9.0
13.2,8.5,7.6,12.9,8.0
12.6,8.9,7.4,11.4,8.5
12.7,8.2,7.1,11.6,9.0
12.6,8.6,7.1,11.8,8.1
12.3,8.6,8.0,12.6,8.3
13.2,8.3,7.1,12.2,8.5
12.3,8.2,7.2,11.9,7.9
12.8,8.5,6.9,12.7,9.0
12.8,8.7,6.6,12.5,8.6
